Link,Heading,Content,start_position,end_position
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,How Asana works,"Whether you are working on a simple task or a complex project, Asana makes it easy to collaborate, streamline workflows, and achieve your goals. In this article, you'll learn what's possible with Asana and understand how Asana is structured. Get started with a free Asana trial today.",0,284
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,What is Asana?,"Asana is a comprehensive work management tool designed to help individuals and teams keep track of tasks, delegate responsibilities, monitor progress, and communicate in real-time. By providing a centralized platform for collaboration, Asana helps teams stay organized and focused, ensuring that projects are completed on time.",0,327
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,What can you do in Asana?,"Whether you're an individual contributor seeking to manage personal tasks or a manager overseeing complex projects, Asana provides the tools to help you work more efficiently and effectively.",0,191
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,Coordination and collaboration,"Asana allows you to collaborate with teammates in real-time, ensuring seamless teamwork and timely task completion. Features like multi-homing and @mention help different stakeholders stay informed about the progress of a task. With multi-homing, one task can belong to multiple projects simultaneously without duplication. For example, your Finance team and Legal teams may need to collaborate on the same task but have different projects where they are tracking progress. The task can live in both projects, and all updates made to the task will be mirrored on both projects. As a result, both teams can remain updated on the task's progress, avoiding silos.",0,660
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,Personal productivity,"Asana helps you manage individual work and boosts personal productivity by improving organization and time management. My tasks is your source of truth and keeps you organized and on top of your responsibilities. Here's where you'll find all the tasks assigned to you, allowing you to prioritize your to-do list effectively. With My tasks, you can view your upcoming tasks, due dates, and task statuses at a glance, making it easy to plan your day and ensure you're focusing on the most critical work. Learn how to maximize your productivity with My tasks.",0,556
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,Transparency and accountability in your work,"By assigning tasks and setting due dates, you can keep teams accountable for the work they are responsible for. Each task has a single owner and a due date, clarifying who is responsible for a task's completion and providing a timeline for when work is expected to be finished. This clarity on assignees and due dates ensures that responsibilities are well-defined, making tracking progress easier and completing work on time. Asana provides a transparent window into the progress and status of work. Team members can easily access project timelines, task descriptions, and status updates, promoting a shared understanding of project goals and individual roles. This visibility encourages better communication and collaboration among team members, enabling everyone to stay on the same page.",0,791
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,Reporting and sharing results,"Asana allows you to share project progress, updates, and key metrics with your manager or stakeholders, ensuring everyone is informed and aligned on the status of work. Share project progress and metrics by creating status updates that keep your team and stakeholders informed, ensuring everyone is aligned on the current status of work. This minimizes the need for catching everybody up, saving time in meetings, and making them more productive. Establish clear objectives and key results in Asana with Asana Goals, providing a framework to track and achieve your goals effectively. By setting and monitoring goals directly in Asana, you centralize goal management, align your team around shared objectives, and ensure everyone is working towards the same outcomes. Asana Goals streamline the process of measuring progress and success, making reporting on your achievements to stakeholders easier.",0,898
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,How Asana is organized,Asana's structure is designed to create a seamless connection between users and the work they are responsible for. Here's an overview of how Asana is organized:,0,160
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,How work is organized,"Goals: Goals are high-level objectives that represent the overarching priorities for an organization or team. They are set within Asana Goals and provide a clear direction for the work being done. Portfolios: Portfolios are containers that group related projects together. They help track progress toward specific initiatives or objectives. Projects: Projects organize and manage work related to a specific initiative. Projects house tasks and subtasks, allowing for dividing work into manageable units and facilitating collaboration. Tasks: Tasks represent the individual action items within a project. They have due dates and can be assigned to specific team members. Subtasks: Subtasks are smaller units of work within a task, often used for breaking down more complex tasks into manageable steps.",0,800
https://help.asana.com/hc/en-us/articles/14250783001627-How-Asana-works,How people are organized,"Organizations are based on your company's shared email domain and connect everybody within your company that uses Asana. Teams are functional groups in an organization that likely correspond to departments, like Marketing or Sales, or functional groups like 'NYC Office.' Members are users who have full access to the workspace or organization and its features. Guests have more limited access and are often invited to collaborate on specific projects or tasks.",0,461
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Understanding privacy and visibility in Asana,"Asana allows you to control access and visibility of tasks, projects, portfolios, and other work items. Sometimes, you'll work on a task or a project that should only be seen by certain people, and this article will show you how to make sure the right people have access to the right work.",0,289
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Task visibility,It's important to note that just because you're working on a task in the same Asana organization as someone else doesn't mean they can see your work. Nor can anyone automatically see your comments or files. You have control over who sees what.,0,243
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Private to you,"This is a private task in which you are the only collaborator. It is not shared with anybody else and cannot be seen by anybody else. This means that you alone appear in the collaborators list. This task is private, and only you have access to it. No one else can view it or collaborate on it. If you add another collaborator, the task will no longer be private, and collaborators will have access to the task and its information. You might keep a task private if you are not yet ready to share the information or use it to keep personal notes or information.",0,559
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Private to collaborators,This task is private to you and the other collaborators on the task. It can be seen only by those invited to collaborate on the task. You can provide access to the task to more people by adding them as collaborators. You might keep a task private to collaborators if the information should only be seen by a select group.,0,321
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Public to organization,"This is a task that anyone in the organization can access, and they can see the information contained within the task. Anyone outside your Asana organization cannot access the task or its information. Keeping a task public to the organization is often the default access setting for work in Asana, especially if the information can and should be shared widely or accessible by anyone in the organization.",0,404
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,See parent,"If you're working on a subtask, sometimes you'll see a note at the top stating This task is visible to its collaborators and people who can see its parent task. The subtask being visible to its collaborators is self-explanatory, but it might not be evident that the visibility of its parent task determines a subtask's visibility. A good rule of thumb is to remember that you will have visibility when looking “down” but not always when looking “up.” In other words, if you've access to a task, you'll have access to its subtasks and sub-sub-tasks. It's possible to be a collaborator or assignee of a subtask but not have access to the parent task “above it”; in this case, you'll see the visibility note mentioned above.",0,721
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Project visibility,Projects can have three access levels.,0,38
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Private to members,"When a project is private to members, only the project members can access it. Anyone not explicitly invited to the project access it, even if they search for it by name it will not appear in search results. It is also important to note that if a non-member is a collaborator on a task within the project, they will not see the project listed in the task's Project field if they are not a member of the private to members project. Whether the team that the project lives in is public or private, the project remains private in this case.",0,536
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Team only,"Team only means the project is public to members of the team in which it lives. This means that the privacy setting of the team influences who can access the project since they determine who can join the team. Teams can have 3 different privacy settings; Private: you must be invited to join this team to see or access the team or its projects. Membership by request: you can see the team's name and send a request to a team member to allow you to join. This invite can be accepted or declined. Public to organization: any organization member can find and join the team, after which they can access the team's public projects.",0,626
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Shared with organization,"Everyone in your Asana organization can find and access the project, even if they're not part of the team the project lives in. They can read tasks and information in the project without becoming a project member.",0,213
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Portfolio visibility,Portfolios have two access levels.,0,34
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Private to members,"You must be invited to become a member of a portfolio that is private to members. The privacy settings of the portfolio contents are respected, meaning that when you've been invited, you'll be able to see all the projects and nested portfolios that you have access to. You won't be able to see any private projects or portfolios you don't currently have access to.",0,364
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Shared with organization,"Anyone in the organization can find and join this portfolio. As before, the privacy settings of projects in the portfolio are respected, so you'll only have visibility into the projects you already have access to. The portfolio could have private projects, but you won't see them unless you're a project member. This allows for the safe sharing of portfolios while respecting project and nested portfolio privacy.",0,413
https://help.asana.com/hc/en-us/articles/21173176677787-Understanding-privacy-and-visibility-in-Asana,Collaborating with team members,"You can use access settings to collaborate with team members in private projects and portfolios without sharing too much information or giving access to the wrong work. Consider a project named Budget 2024 that is set to Private to members. Only the 4 project members have access - nobody else can find the project via search, or read any of the information within - they must request access from a current project member. Before long, the members realize they need help from Sam on the Finance team with a single budget-related task in the Budget 2024 project, but they don't want to share any of the project's other tasks with them. No problem; they simply assign the task to Sam. Sam is not automatically added to the project, and they only see this one task. They cannot even see the name of the project the task belongs to.",0,828
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Create tasks in Asana,There are multiple ways to use tasks in Asana. This article will help you understand their use cases and how to create and name them effectively.,0,145
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Creating a task,"Tasks are actionable items that clearly show who is responsible for what by when, but can also serve different purposes, like taking notes, meeting agendas, or reference items. You can create a task in three different ways: From the Quick add button in the top bar, Via the + Add task button in a project, Clicking  + next to the section.",0,338
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Actionable titles and clear descriptions,"When a task assignee or collaborator sees a task for the first time, they should understand what the task is about and what's expected of them based on the title and description. An effective title would be “Complete first draft of blog post” versus “Blog post.” The task description must provide the assignee all the information they need to complete the task.",0,361
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Benefits of clear task ownership,"Assigned tasks have a higher completion rate; that's why actionable tasks should always have an assignee who is responsible for the task's completion. When a task has an assignee, it's clear to everyone who is responsible for getting that work done. Learn more about assigning tasks in Asana.",0,292
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Setting start and due dates,"Actionable tasks should have a due date to keep track of your tasks and meet deadlines. You can also add start dates to specify when the work should start. If a due date needs to be changed, it's best practice to comment on the task and @mention the person who assigned it to let them know why the due date has been pushed back. If you assign tasks to yourself, give them a due date to increase productivity.",0,408
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Subtasks,Subtasks are used to break up the work of a task into smaller parts or to help share the workload with multiple people. Subtasks function like independent tasks with the same fields as a parent task and are embedded within a parent task.,0,237
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Milestones,"Milestones mark significant progress points along a project timeline. You can create a milestone or turn existing tasks into milestones. Examples of milestones include: Hitting a revenue target, Confirming an event site, Completing significant pieces of work that unblock the next phase of a project.",0,300
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Approvals,"You can turn any task or subtask into an approval by clicking the three dot icon, and selecting Mark as Approval. This is a way of quickly receiving feedback on a task that needs approval. Approvers can easily see what's needed and can “Approve”, “Request changes”, or “Reject” a task. As the requester, you'll receive inbox notifications when action is taken on the task.",0,372
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Follow-up tasks,"A follow-up task is a standalone task created from an existing Asana task. It can be a reminder to follow up on the original task later. Unlike subtasks, the follow-up task has no affiliation with the parent task. You can create a follow-up task from any task or subtask. To create a follow-up task: Open the task you wish to follow up on, Click on the three dot icon, Select Create follow-up task. This creates a new task with the following default characteristics, all of which you can edit: A default name of “Follow up on [original task name]”, Assigned to you by default and shows in your My Tasks, A description containing a hyperlink back to the original task.",0,667
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Dependencies,"The completion of certain tasks may depend on other work being finished first. Task dependencies help work happen in the correct order and at the right time. Dependencies are the relationships among tasks that determine the order in which activities must be performed. With task dependencies, you can mark a task as “blocking” or “blocked by” another task.",0,356
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Multi-homing,"Multi-homing is adding the same task to multiple projects in Asana. Every change made to the task, such as comments, attachments, changes to due dates, etc., will be reflected across all projects, eliminating the need to update the task in each project individually. Multi-homing avoids duplication by centralizing work; keeping various teams in the loop without providing individual updates. From the task details pane: Navigate to the Projects field, click Add to projects and type the project name, Or click the three dot icon and select Add to another project.",0,564
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Using task templates,Task templates make it easy to standardize tasks in your project and quickly set up the same tasks repeatedly without starting from scratch. You can convert existing tasks into templates or create new ones to save time. Follow these step-by-step instructions to create task templates.,0,284
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Tips on using task templates,"Use 'template' or 'duplicate me' in the task title to quickly find them when searching and to ensure nobody accidentally modifies it. Converting a task to a template closes the original task. Duplicate the task by clicking the three dot icon in the top right corner of the task, then selecting Duplicate task.",0,309
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Create tasks in Asana,There are multiple ways to use tasks in Asana. This article will help you understand their use cases and how to create and name them effectively.,0,145
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Creating a task,"Tasks are actionable items that clearly show who is responsible for what by when, but can also serve different purposes, like taking notes, meeting agendas, or reference items. You can create a task in three different ways: From the Quick add button in the top bar, Via the + Add task button in a project, Clicking  + next to the section.",0,338
https://help.asana.com/hc/en-us/articles/20160154656923-Create-tasks-in-Asana,Actionable titles and clear descriptions,"When a task assignee or collaborator sees a task for the first time, they should understand what the task is about and what's expected of them based on the title and description. An effective title would be “Complete first draft of blog post” versus “Blog post.” The task description must provide the assignee all the information they need to complete the task.",0,361
